Year,Mortgage_Rate,Consumer_Inflation_Rate,cluster
1971.3333333333333,7.31,5.985037406483684,1
1971.4166666666667,7.43,5.955334987593108,1
1971.5,7.53,2.962962962962923,1
1971.5833333333333,7.6,2.955665024630605,1
1971.6666666666667,7.7,2.948402948402773,1
1971.75,7.69,2.941176470588225,1
1971.8333333333333,7.63,2.9339853300734298,1
1971.9166666666667,7.55,2.9268292682926855,1
1972.0,7.48,2.91970802919721,1
1972.0833333333333,7.44,5.825242718446599,1
1972.1666666666667,7.33,0.0,4
1972.25,7.3,2.898550724637694,1
1972.3333333333333,7.29,3.4912718204488824,1
1972.4166666666667,7.37,3.2258064516129226,1
1972.5,7.37,2.9629629629629672,1
1972.5833333333333,7.4,2.9556650246305383,1
1972.6666666666667,7.4,2.9484029484029284,1
1972.75,7.42,3.1862745098039325,1
1972.8333333333333,7.42,3.1784841075794823,1
1972.9166666666667,7.43,3.4146341463414664,1
1973.0,7.44,3.406326034063256,1
1973.0833333333333,7.44,3.6407766990291357,1
1973.1666666666667,7.44,3.864734299516903,1
1973.25,7.46,4.8309178743961345,1
1973.3333333333333,7.54,5.301204819277117,1
1973.4166666666667,7.65,5.528846153846145,1
1973.5,7.73,5.995203836930463,1
1973.5833333333333,8.05,5.741626794258381,1
1973.6666666666667,8.5,7.398568019093088,1
1973.75,8.82,7.3634204275534465,1
1973.8333333333333,8.77,8.056872037914697,1
1973.9166666666667,8.58,8.25471698113207,1
1974.0,8.54,8.94117647058823,1
1974.0833333333333,8.54,9.601873536299754,1
1974.1666666666667,8.46,9.999999999999986,1
1974.25,8.41,10.138248847926267,1
1974.3333333333333,8.58,10.068649885583515,1
1974.4166666666667,8.97,10.70615034168565,3
1974.5,9.09,10.859728506787313,3
1974.5833333333333,9.28,11.538461538461519,3
1974.6666666666667,9.59,10.888888888888882,3
1974.75,9.96,11.946902654867241,3
1974.8333333333333,9.98,11.842105263157897,3
1974.9166666666667,9.79,12.200435729847502,3
1975.0,9.62,12.095032397408211,3
1975.0833333333333,9.43,11.752136752136755,3
1975.1666666666667,9.11,11.205073995771686,3
1975.25,8.9,10.460251046025103,3
1975.3333333333333,8.82,10.187110187110182,1
1975.4166666666667,8.91,9.259259259259256,1
1975.5,8.89,9.183673469387754,1
1975.5833333333333,8.89,9.533468559837743,1
1975.6666666666667,8.94,8.617234468937895,1
1975.75,9.13,7.905138339920947,1
1975.8333333333333,9.22,7.647058823529407,1
1975.9166666666667,9.15,7.37864077669903,1
1976.0,9.1,7.129094412331405,1
1976.0833333333333,9.02,6.692160611854692,1
1976.1666666666667,8.81,6.273764258555126,1
1976.25,8.76,6.060606060606055,1
1976.3333333333333,8.73,5.849056603773595,1
1976.4166666666667,8.77,6.214689265536721,1
1976.5,8.85,5.981308411214958,1
1976.5833333333333,8.93,5.555555555555558,1
1976.6666666666667,9.0,5.719557195571956,1
1976.75,8.98,5.494505494505497,1
1976.8333333333333,8.93,5.464480874316946,1
1976.9166666666667,8.81,5.063291139240511,1
1977.0,8.79,5.035971223021574,1
1977.0833333333333,8.72,5.197132616487465,1
1977.1666666666667,8.67,6.082289803220031,1
1977.25,8.69,6.428571428571428,1
1977.3333333333333,8.75,6.951871657754016,1
1977.4166666666667,8.83,6.737588652482285,1
1977.5,8.86,6.701940035273357,1
1977.5833333333333,8.94,6.666666666666665,1
1977.6666666666667,8.94,6.631762652705064,1
1977.75,8.9,6.423611111111094,1
1977.8333333333333,8.92,6.390328151986191,1
1977.9166666666667,8.92,6.712564543889843,1
1978.0,8.96,6.67808219178081,1
1978.0833333333333,9.02,6.814310051107331,1
1978.1666666666667,9.15,6.2394603709949426,1
1978.25,9.2,6.375838926174482,1
1978.3333333333333,9.36,6.499999999999995,1
1978.4166666666667,9.57,7.14285714285714,1
1978.5,9.71,7.438016528925617,1
1978.5833333333333,9.74,7.7302631578947345,1
1978.6666666666667,9.79,7.855973813420625,1
1978.75,9.76,8.482871125611746,1
1978.8333333333333,9.86,8.92857142857142,1
1978.9166666666667,10.11,8.870967741935477,1
1979.0,10.35,8.988764044943842,1
1979.0833333333333,10.39,9.250398724082931,3
1979.1666666666667,10.41,9.84126984126985,3
1979.25,10.43,10.252365930599371,3
1979.3333333333333,10.5,10.485133020344284,3
1979.4166666666667,10.69,10.697674418604652,3
1979.5,11.04,11.076923076923073,3
1979.5833333333333,11.09,11.45038167938932,3
1979.6666666666667,11.09,11.836115326251884,3
